id	availability	condition	description	image_link	link	title	price	mpn	gender	google_product_category	shipping	shipping_weight
165253	in stock	new	plain casual top 1 shawl collar autumn spring winter cardigans, Shawl Collar Longline Plain Cardigan	http://pic.fashionmia.com/catalog/products/original/images/0E5B0B5DB56A/3045650_1.jpg_z.jpg	http://www.fashionmia.com/Products/shawl-collar-longline-plain-cardigan-165253.html	Shawl Collar Longline Plain Cardigan	23.95 USD	0E5B0B5DB56A	female	Apparel & Accessories > Clothing > Shirts & Tops > Sweaters & Cardigans	US:*:Ground:4.12 USD	300g
163253	in stock	new	sweaters, Round Neck Decorative Patches Side-vented Sweater	http://pic.fashionmia.com/catalog/products/original/images/0E7FA0F19D32/3040993_3.jpg_z.jpg	http://www.fashionmia.com/Products/round-neck-decorative-patches-side-vented-sweater-163253.html	Round Neck Decorative Patches Side-vented Sweater	17.95 USD	0E7FA0F19D32	female	Apparel & Accessories > Clothing > Shirts & Tops > Sweaters & Cardigans	US:*:Ground:2.73 USD	160g
165212	in stock	new	elastic waist geometric printed printed date pleated autumn spring summer bottom 1 maxi skirts, Elastic Waist Geometric Printed Pleated High-Rise Maxi Skirt	http://pic.fashionmia.com/catalog/products/original/images/0EB330ECC1DB/3045610_2.jpg_z.jpg	http://www.fashionmia.com/Products/elastic-waist-geometric-printed-pleated-high-rise-maxi-skirt-165212.html	Elastic Waist Geometric Printed Pleated High-Rise Maxi Skirt	20.95 USD	0EB330ECC1DB	female	Apparel & Accessories > Clothing > Skirts	US:*:Ground:4.68 USD	355g
164752	in stock	new	floral printed date knee-length flared belt boat neck summer belt 1 dress 1, Boat Neck Belt Floral Printed Skater Dress	http://pic.fashionmia.com/catalog/products/original/images/0EB788C1929F/3045054_1.jpg_z.jpg	http://www.fashionmia.com/Products/boat-neck-belt-floral-printed-skater-dress-164752.html	Boat Neck Belt Floral Printed Skater Dress	19.95 USD	0EB788C1929F	female	Apparel & Accessories > Clothing > Dresses	US:*:Ground:3.27 USD	215g
163380	in stock	new	plain, Lapel Belt Plain Skater Dress With Brooch	http://pic.fashionmia.com/catalog/products/original/images/0ECA86157A97/6f0e0e57bede90d41ce9e21504888410.jpg_z.jpg	http://www.fashionmia.com/Products/lapel-belt-plain-swing-trench-coat-with-brooch-163380.html	Lapel Belt Plain Skater Dress With Brooch	11.95 USD	0ECA86157A97	female	Apparel & Accessories > Clothing > Dresses	US:*:Ground:9.59 USD	846g
164345	in stock	new	hollow out plain date v-neck autumn spring blouses, V-Neck Hollow Out Plain Lace Blouse	http://pic.fashionmia.com/catalog/products/original/images/0EE5006A4859/3044437_4.jpg_z.jpg	http://www.fashionmia.com/Products/v-neck-hollow-out-plain-lace-blouse-164345.html	V-Neck Hollow Out Plain Lace Blouse	11.95 USD	0EE5006A4859	female	Apparel & Accessories > Clothing > Shirts & Tops > Shirts & Blouses	US:*:Ground:2.31 USD	119g
165324	in stock	new	plain autumn spring slim-leg basic casual bottom 1 leggings, Plain Mid-Rise Legging	http://pic.fashionmia.com/catalog/products/original/images/0EE5F4668622/3045709_7.jpg_z.jpg	http://www.fashionmia.com/Products/plain-mid-rise-legging-165324.html	Plain Mid-Rise Legging	11.95 USD	0EE5F4668622	female	Apparel & Accessories > Clothing > Pants > Leggings	US:*:Ground:2.67 USD	155g
163076	in stock	new	doll collar striped date party vacation wedding midi flared, Doll Collar Decorative Button Vertical Stripe Roll-up Sleeve Skater Dress	http://pic.fashionmia.com/catalog/products/original/images/0F0307CE24C4/3041368_4.jpg_z.jpg	http://www.fashionmia.com/Products/doll-collar-decorative-button-vertical-stripe-roll-up-sleeve-skater-dress-163076.html	Doll Collar Decorative Button Vertical Stripe Roll-up Sleeve Skater Dress	18.95 USD	0F0307CE24C4	female	Apparel & Accessories > Clothing > Dresses	US:*:Ground:5.62 USD	450g
165283	in stock	new	plain date party flared off shoulder summer dress 1, Off Shoulder Plain Skater Dress	http://pic.fashionmia.com/catalog/products/original/images/0F0421C9866B/3045069_8.jpg_z.jpg	http://www.fashionmia.com/Products/off-shoulder-plain-skater-dress-165283.html	Off Shoulder Plain Skater Dress	30.95 USD	0F0421C9866B	female	Apparel & Accessories > Clothing > Dresses	US:*:Ground:6.43 USD	530g
164031	in stock	new	street plain s m l xl plain plain off-shoulder, Off Shoulder Exposed Navel Plain Top And Wide-leg Pant	http://pic.fashionmia.com/catalog/products/original/images/0F43582EFE87/3041434_5.jpg_z.jpg	http://www.fashionmia.com/Products/off-shoulder-exposed-navel-plain-top-and-wide-leg-pant-164031.html	Off Shoulder Exposed Navel Plain Top And Wide-leg Pant	19.95 USD	0F43582EFE87	female	Apparel & Accessories > Clothing > Shirts & Tops	US:*:Ground:3.92 USD	279g
